Customer_ID,custcare_Mean,new_cell,area,creditcd
1000014,0.0,Y,CENTRAL-SOUTH TEXAS AREA,N
1000016,1.0,N,DALLAS AREA,Y
1000021,0.333333333,U,TENNESSEE AREA,Y
1000023,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,N
1000029,0.0,N,NEW ENGLAND AREA,Y
1000031,0.0,N,MIDWEST AREA,N
1000034,0.0,Y,MIDWEST AREA,Y
1000051,0.666666667,N,TENNESSEE AREA,Y
1000061,0.0,N,MIDWEST AREA,N
1000072,0.0,N,DALLAS AREA,Y
1000076,9.666666667,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000092,3.333333333,U,MIDWEST AREA,Y
1000094,0.0,N,OHIO AREA,Y
1000096,0.333333333,Y,DALLAS AREA,Y
1000118,0.0,Y,DALLAS AREA,Y
1000132,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000154,4.0,N,DALLAS AREA,Y
1000158,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000162,0.333333333,N,CENTRAL-SOUTH TEXAS AREA,Y
1000175,0.0,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000176,0.333333333,N,CENTRAL-SOUTH TEXAS AREA,Y
1000182,0.0,N,DALLAS AREA,Y
1000184,0.0,N,SOUTHWEST AREA,Y
1000187,0.0,Y,MIDWEST AREA,Y
1000190,0.333333333,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000206,0.0,N,CENTRAL-SOUTH TEXAS AREA,N
1000211,0.0,Y,HOUSTON AREA,Y
1000213,0.333333333,N,DALLAS AREA,N
1000220,0.0,N,SOUTHWEST AREA,Y
1000222,0.0,N,DALLAS AREA,N
1000223,0.0,U,DALLAS AREA,N
1000232,0.0,N,MIDWEST AREA,N
1000235,0.0,N,OHIO AREA,Y
1000269,6.333333333,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000291,0.0,Y,DALLAS AREA,Y
1000297,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
1000299,0.0,Y,SOUTHWEST AREA,Y
1000309,3.666666667,Y,PHILADELPHIA AREA,Y
1000321,1.333333333,Y,HOUSTON AREA,N
1000334,0.0,Y,HOUSTON AREA,Y
1000346,0.0,N,MIDWEST AREA,Y
1000347,0.666666667,N,DALLAS AREA,Y
1000349,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,N
1000354,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000364,3.666666667,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000368,0.0,Y,PHILADELPHIA AREA,Y
1000379,0.0,N,SOUTHWEST AREA,N
1000398,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000403,1.333333333,N,SOUTH FLORIDA AREA,N
1000423,0.666666667,U,PHILADELPHIA AREA,Y
1000429,0.666666667,U,CENTRAL-SOUTH TEXAS AREA,
1000436,0.0,N,DALLAS AREA,N
1000441,0.0,N,ATLANTIC SOUTH AREA,Y
1000446,1.0,N,OHIO AREA,Y
1000455,0.0,N,NEW YORK CITY AREA,N
1000466,0.0,N,DALLAS AREA,Y
1000468,0.0,U,SOUTH FLORIDA AREA,N
1000471,0.0,Y,SOUTH FLORIDA AREA,Y
1000477,0.0,U,CALIFORNIA NORTH AREA,Y
1000484,0.0,N,MIDWEST AREA,Y
1000488,20.0,N,SOUTH FLORIDA AREA,Y
1000509,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
1000527,0.0,N,SOUTH FLORIDA AREA,Y
1000530,0.0,U,DALLAS AREA,Y
1000531,0.0,N,SOUTH FLORIDA AREA,N
1000542,0.0,U,TENNESSEE AREA,Y
1000565,0.0,Y,GREAT LAKES AREA,
1000566,1.0,N,SOUTH FLORIDA AREA,N
1000571,0.333333333,Y,SOUTH FLORIDA AREA,N
1000584,0.333333333,N,CHICAGO AREA,Y
1000591,0.0,N,MIDWEST AREA,Y
1000602,0.0,N,DALLAS AREA,Y
1000604,0.0,N,SOUTH FLORIDA AREA,Y
1000609,0.0,Y,MIDWEST AREA,Y
1000611,0.0,N,OHIO AREA,
1000613,2.666666667,U,MIDWEST AREA,Y
1000629,0.0,N,CENTRAL-SOUTH TEXAS AREA,N
1000632,0.0,N,SOUTHWEST AREA,Y
1000642,0.0,N,ATLANTIC SOUTH AREA,Y
1000651,0.0,N,SOUTHWEST AREA,N
1000658,0.0,N,SOUTH FLORIDA AREA,Y
1000668,0.666666667,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000672,0.0,U,MIDWEST AREA,Y
1000729,1.333333333,Y,MIDWEST AREA,Y
1000753,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000756,0.333333333,Y,CALIFORNIA NORTH AREA,Y
1000760,0.333333333,Y,NEW YORK CITY AREA,N
1000768,0.0,Y,DALLAS AREA,Y
1000776,0.0,N,TENNESSEE AREA,Y
1000783,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000784,0.0,N,DALLAS AREA,Y
1000785,0.0,N,PHILADELPHIA AREA,Y
1000800,0.666666667,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000806,0.0,Y,HOUSTON AREA,Y
1000817,0.0,N,MIDWEST AREA,Y
1000820,0.0,N,SOUTH FLORIDA AREA,Y
1000829,5.333333333,N,PHILADELPHIA AREA,N
1000845,0.0,Y,PHILADELPHIA AREA,Y
1000865,0.0,U,CALIFORNIA NORTH AREA,N
1000869,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000895,0.0,Y,DALLAS AREA,N
1000903,2.0,U,SOUTH FLORIDA AREA,Y
1000905,0.0,N,DALLAS AREA,Y
1000906,0.0,Y,CALIFORNIA NORTH AREA,Y
1000914,0.0,Y,DALLAS AREA,Y
1000930,5.0,U,DALLAS AREA,N
1000931,1.333333333,N,CALIFORNIA NORTH AREA,Y
1000947,0.666666667,Y,MIDWEST AREA,Y
1000957,4.666666667,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1000964,0.0,N,MIDWEST AREA,Y
1000972,0.0,N,NEW YORK CITY AREA,Y
1000989,0.0,N,GREAT LAKES AREA,Y
1001003,20.0,N,SOUTH FLORIDA AREA,Y
1001009,0.0,N,CALIFORNIA NORTH AREA,Y
1001015,0.666666667,Y,NEW YORK CITY AREA,N
1001032,0.0,Y,MIDWEST AREA,Y
1001046,0.0,N,DALLAS AREA,Y
1001057,0.333333333,U,NEW YORK CITY AREA,N
1001063,0.0,Y,MIDWEST AREA,Y
1001064,16.66666667,Y,CENTRAL-SOUTH TEXAS AREA,Y
1001093,0.0,N,GREAT LAKES AREA,Y
1001105,0.0,N,NEW YORK CITY AREA,Y
1001119,0.0,U,CENTRAL-SOUTH TEXAS AREA,N
1001123,0.333333333,N,NEW YORK CITY AREA,Y
1001133,0.0,U,PHILADELPHIA AREA,Y
1001149,0.0,N,CALIFORNIA NORTH AREA,Y
1001154,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,N
1001156,0.0,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1001185,1.333333333,Y,CALIFORNIA NORTH AREA,Y
1001210,0.0,Y,GREAT LAKES AREA,Y
1001242,2.666666667,Y,CALIFORNIA NORTH AREA,Y
1001245,0.666666667,N,NEW YORK CITY AREA,Y
1001254,0.0,N,SOUTH FLORIDA AREA,Y
1001259,0.0,N,NEW YORK CITY AREA,Y
1001270,0.0,N,DALLAS AREA,Y
1001315,0.0,Y,CALIFORNIA NORTH AREA,Y
1001318,0.0,Y,DALLAS AREA,Y
1001356,0.0,Y,CALIFORNIA NORTH AREA,Y
1001372,0.666666667,N,NEW YORK CITY AREA,Y
1001383,3.666666667,Y,CALIFORNIA NORTH AREA,N
1001393,0.0,Y,GREAT LAKES AREA,Y
1001408,0.0,N,MIDWEST AREA,Y
1001422,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
1001437,4.666666667,N,DALLAS AREA,N
1001452,14.66666667,Y,GREAT LAKES AREA,N
1001487,0.0,N,GREAT LAKES AREA,Y
1001496,0.333333333,Y,NEW ENGLAND AREA,N
1001497,5.0,U,CENTRAL-SOUTH TEXAS AREA,Y
1001498,0.0,Y,DALLAS AREA,Y
1001518,1.0,Y,SOUTHWEST AREA,Y
1001528,0.0,N,SOUTHWEST AREA,Y
1001530,0.0,N,NEW ENGLAND AREA,
1001576,0.0,N,DALLAS AREA,Y
1001595,1.666666667,N,CALIFORNIA NORTH AREA,N
1001597,0.0,Y,CALIFORNIA NORTH AREA,Y
1001602,0.333333333,Y,DALLAS AREA,Y
1001606,0.0,N,NEW ENGLAND AREA,Y
1001614,2.0,U,NEW ENGLAND AREA,Y
1001617,0.0,N,TENNESSEE AREA,Y
1001632,0.333333333,Y,OHIO AREA,Y
1001644,0.0,Y,GREAT LAKES AREA,Y
1001660,0.333333333,Y,GREAT LAKES AREA,Y
1001667,0.333333333,Y,NEW ENGLAND AREA,
1001692,0.0,N,DALLAS AREA,N
1001696,0.0,N,HOUSTON AREA,Y
1001710,0.333333333,N,PHILADELPHIA AREA,N
1001727,27.66666667,N,NEW ENGLAND AREA,Y
1001745,0.0,N,MIDWEST AREA,Y
1001750,0.333333333,Y,MIDWEST AREA,Y
1001751,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
1001752,0.0,N,MIDWEST AREA,N
1001784,0.0,N,DALLAS AREA,Y
1001812,0.0,Y,CALIFORNIA NORTH AREA,Y
1001813,0.0,N,MIDWEST AREA,
1001818,0.0,Y,MIDWEST AREA,Y
1001824,0.0,Y,MIDWEST AREA,Y
1001835,0.0,N,MIDWEST AREA,Y
1001850,3.0,N,NEW ENGLAND AREA,Y
1001862,0.333333333,N,DALLAS AREA,Y
1001866,6.333333333,Y,SOUTH FLORIDA AREA,N
1001867,11.33333333,Y,HOUSTON AREA,Y
1001868,0.0,N,CALIFORNIA NORTH AREA,Y
1001872,0.0,N,MIDWEST AREA,Y
1001877,0.0,Y,MIDWEST AREA,N
1001883,1.666666667,N,HOUSTON AREA,Y
1001890,0.0,N,MIDWEST AREA,Y
1001899,0.0,Y,MIDWEST AREA,N
1001926,0.666666667,N,MIDWEST AREA,N
1001932,0.333333333,N,SOUTH FLORIDA AREA,Y
1001934,0.0,N,TENNESSEE AREA,Y
1001962,0.0,N,TENNESSEE AREA,Y
1001979,2.0,Y,NEW YORK CITY AREA,N
1001983,0.0,Y,SOUTH FLORIDA AREA,Y
1001989,0.0,N,PHILADELPHIA AREA,Y
1002011,0.0,N,NEW YORK CITY AREA,Y
1002012,0.0,N,OHIO AREA,N
1002013,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
1002021,0.0,Y,TENNESSEE AREA,Y
1002027,0.0,Y,MIDWEST AREA,Y
1002031,0.0,Y,NORTHWEST-ROCKY MOUNTAIN AREA,N
1002036,0.333333333,N,TENNESSEE AREA,Y
1002037,0.0,N,CENTRAL-SOUTH TEXAS AREA,Y
1002052,0.0,N,CALIFORNIA NORTH AREA,Y
1002055,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
1002059,4.0,N,NEW YORK CITY AREA,Y
1002065,0.0,U,TENNESSEE AREA,Y
1002073,0.666666667,N,SOUTH FLORIDA AREA,Y
1002079,6.333333333,U,TENNESSEE AREA,Y
1002094,0.0,N,HOUSTON AREA,Y
1002097,3.0,Y,NEW ENGLAND AREA,Y
1002146,0.0,Y,CHICAGO AREA,Y
1002158,0.0,N,CENTRAL-SOUTH TEXAS AREA,Y
1002161,0.0,N,GREAT LAKES AREA,N
1002162,0.666666667,Y,MIDWEST AREA,N
