Código País;CO
País;Colombia
Latitud;4,57
Longitud;-74,3
Continente;América
Población;48258494
;
Código País;MX
País;México
Latitud;19,81
Longitud;-99,01
Continente;América
Población;128649565
;
Código País;CA
País;Canada
Latitud;45,8
Longitud;-75,68
Continente;América
Población;37067011
;
Código País;FR
País;Francia
Latitud;48,94
Longitud;2,41
Continente;Europa
Población;64979000
;
Código País;DE
País;Alemania
Latitud;52,94
Longitud;13,6
Continente;Europa
Población;83149300
;
Código País;IN
País;India
Latitud;28,62
Longitud;77,2
Continente;Asia
Población;1372065957
;
Código País;JP
País;Japón
Latitud;36,62
Longitud;139,58
Continente;Asia
Población;126150000
;
Código País;KR
País;Corea del Sur
Latitud;37,69
Longitud;126,99
Continente;Asia
Población;51500852
;
Código País;RU
País;Rusia
Latitud;56,3
Longitud;37,46
Continente;Europa/Asia
Población;146000000
;
Código País;US
País;Estados Unidos
Latitud;39,74
Longitud;-103,17
Continente;América
Población;325719000
;
Código País;GB
País;Gran Bretaña
Latitud;54,21
Longitud;-2,66
Continente;Europa
Población;63786000
;
Código País;NL
País;Holanda
Latitud;52,13
Longitud;5,29
Continente;Europa
Población;6100000
