Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
30,10,9,11,True
12,12,11,2,False
10,10,10,5,True
17,17,18,6,False
62,15.5,19,8,False
121,15.1,19,8,False
10,10,9,2,True
87,14.5,19,8,False
20,20,23,12,False
21,21,23,12,False
47.7,15.7,15.7,11.7,True
505,15.5,19.3,16.3,True
275,11,10,8,False
50,10,10,8,False
112,16,17,25,True
10,10,10,3,True
15,15,16,8,False
91,13,14,24,True
10,10,10,18,False
20,20,20,7,False
10,10,10,8,False
36,9,10,8,False
212.5,32.5,33,5.5,False
32,14,14.5,7,False
12,12,11,10,False
33,22,21.5,12.5,False
176.5,19.3,22.5,9.5,False
231,25.7,32,18,False
43.8,15.6,16.3,8.3,False
30,10,9,4,False
32,16,16.5,7.5,False
271.3,15.1,16.5,7.5,False
142.3,10.2,14,11,True
63.8,15.7,15.8,10.5,False
17,17,16.5,5,False
130,10,10,6,False
9,9,9,8,False
9,9,9,8,False
15,15,13,6,True
10,10,10,4,False
11,11,11,6,False
15,15,13,6,True
14,14,13,6,True
20,11,11.5,5.5,True
20,10,9,7,True
43,10.8,9,7,True
140,10,9,7,True
28,14,12,6,False
160,16,17,19,True
851,28.6,36,15,False
190,10,10,20,False
190,10,10,20,False
40,10,10,20,False
110,10,10,20,False
60,10,10,20,False
312,39,38,9,False
663,39,38,9,False
227,18.9,27,34,(en blanco)
307,28.6,32.5,21.5,False
11,11,9,5,True
11,11,9,5,True
10,10,9,5,True
11,11,10,3,True
205,25.6,25,4,True
126,63,65,5,False
638.5,40,41,4.5,True
136,17,17,4,True
26,26,14,3,True
14,14,14,3,True
10,10,10,1,False
93,31,31,18,False
31,31,31,18,False
105,35,34,9,False
34,34,34,9,False
10,10,10,1,False
10,10,10,2,False
388,35.3,38,14,False
145.9,58.9,65.5,12,False
540.1,27,38,14,False
267.7,26.8,38,14,False
102,17,38,14,False
138,14.1,20.3,8.7,False
231.8,16.6,38,14,False
611.9,13.9,38,14,False
140.8,23.5,38,14,False
10,10,9,6,False
72.1,36.1,38,14,False
88,11,9,6,False
15,15,15,4,False
146.6,16.3,25,13,True
434.4,14.5,25,13,True
61,15.3,25,13,True
126,14,25,13,True
57.3,14.3,25,13,True
51,17,17,11,False
372,62,45,22,False
10,10,9,4,True
42,14,23,36,True
53,26.5,29,26,True
221,20.1,29,26,True
95,19,29,26,True
47,23.5,29,26,True
71,17.8,29,26,True
33,33,31,24,True
81.7,20.4,31,24,True
203.3,18.5,31,24,True
94.3,15.6,21,14.5,True
353.7,17.7,31,24,True
69.2,14.3,21,14.5,True
168,14,14,11,True
389,20.5,14,11,True
524,30.8,14,11,True
592,37,14,11,True
56,11.2,10,10,True
330,10.7,10,10,True
10,10,9,5,False
10,10,9,5,False
10,10,9,5,False
27.3,27.3,41,10,False
719.8,27.7,41,10,False
